BinNo,FloorNo,AisleNo,BayNo,BatchLotNo,StockCode,StockInHand,SumofStock,BinType,BinZone
S-C-12,S,C,12,SW40559,YMPM60,1.0,625.0,PickFace,C
S-D-12,S,D,12,SW40817,YMWD-480,24.0,302.0,PickFace,S
S-D-12,S,D,12,40817,YMWD-480,0.0,302.0,Goodsin,Q
5-D-12,5,D,12,P09823-1,YMSS7SR,3080.0,3080.0,PickFace,T
S-D-12,S,D,12,SW40782,YMACT240,54.0,302.0,Goodsin,R
4-D-12,4,D,12,SW41189,YMPMB30,8640.0,8640.0,Null,C
8-D-12,8,D,12,N968120240,IMOV01,360000.0,360000.0,Goodsin,Y
S-D-12,S,D,12,41007,YMWD-480,2.0,302.0,Null,I
S-D-12,S,D,12,SW41007,YMWD-480,222.0,302.0,Null,I
5-E-12,5,E,12,40821SW,YMB30,8635.0,8635.0,Null,H
8-E-12,8,E,12,N968120241,IMOV01,220000.0,220000.0,Null,P
1-F-12,1,F,12,F164146,YMP60,2517.0,2517.0,Null,I
1-G-12,1,G,12,SW40835,YPCL30,1008.0,1008.0,PickFace,K
8-A-13,8,A,13,40799,YMBA60S6,560.0,560.0,Null,D
5-A-13,5,A,13,SW41006,YMAV120,120.0,120.0,Null,Z
4-A-13,4,A,13,SW40934,YMH1800,120.0,120.0,PickFace,C
S-A-13,S,A,13,F164393,YMP60-SFO,719.0,1196.0,PickFace,U
S-A-13,S,A,13,F164394,YMP60-SFO,477.0,1196.0,PickFace,P
7-A-13,7,A,13,P34822-2,YMSS7LR,1000.0,1000.0,PickFace,D
8-B-13,8,B,13,N968120770,IMOV01,540000.0,540000.0,Goodsin,H
S-B-13,S,B,13,SW40484,YMACT60-PP,0.0,120.0,PickFace,W
S-B-13,S,B,13,SW40824,YMACT240,120.0,120.0,PickFace,O
4-B-13,4,B,13,SW40903,YMC60,535.0,535.0,PickFace,L
6-B-13,6,B,13,P04823-2,YMSS7MR,1600.0,1600.0,Null,V
5-B-13,5,B,13,F164146,YMP120-E,1178.0,1178.0,Goodsin,J
S-C-13,S,C,13,40903,YMC60,2.0,701.0,Null,J
1-C-13,1,C,13,SW40481,YMACT60-PP,952.0,952.0,Goodsin,F
8-C-13,8,C,13,N968113540,IMOV01,360000.0,360000.0,Null,A
7-C-13,7,C,13,F163831,YMS120,1600.0,1600.0,Null,K
S-C-13,S,C,13,SW40903,YMC60,699.0,701.0,Goodsin,N
4-C-13,4,C,13,SW40908,YM120,883.0,883.0,Null,R
S-D-13,S,D,13,40748,YMC60,1.0,922.0,Goodsin,U
S-D-13,S,D,13,SW40834,YPCM30,630.0,922.0,PickFace,F
S-D-13,S,D,13,SW40066,YMC60,62.0,922.0,PickFace,J
7-D-13,7,D,13,20923,YVS120,864.0,864.0,PickFace,G
S-D-13,S,D,13,40909,YPCM30,80.0,922.0,PickFace,D
S-D-13,S,D,13,SW40252,YMC60,1.0,922.0,PickFace,N
S-D-13,S,D,13,SW40145,YMC60,145.0,922.0,Null,T
S-D-13,S,D,13,SW40036,YMC60,2.0,922.0,PickFace,W
S-D-13,S,D,13,f163194,YM300,1.0,922.0,PickFace,L
8-E-13,8,E,13,N968120241,IMOV01,360000.0,360000.0,Null,R
6-E-13,6,E,13,P09523-03,YMSS7MR,1800.0,1800.0,Goodsin,Q
1-E-13,1,E,13,SW40777,YMACT30-PP,3005.0,3005.0,Null,A
1-E-13,1,E,13,40523,YMACT30-PP,0.0,3005.0,Null,V
1-E-13,1,E,13,SW40484,YMACT30-PP,0.0,3005.0,PickFace,Z
1-F-13,1,F,13,P18023-1,YMDS14MD,496.0,1776.0,Goodsin,U
1-F-13,1,F,13,SW40301,YMACT60-PP,1280.0,1776.0,Goodsin,G
S-A-14,S,A,14,F166770,YMP300,2.0,2908.0,PickFace,T
S-A-14,S,A,14,SWF166770,YMP300,2906.0,2908.0,Goodsin,F
5-A-14,5,A,14,SW41262,YUAC,421.0,421.0,Goodsin,W
7-A-14,7,A,14,SW35956,YMCM30,168.0,168.0,Null,A
4-A-14,4,A,14,SW40934,YMH1800,72.0,72.0,PickFace,G
7-B-14,7,B,14,F164047SW,YMS120-RET,18.0,18.0,PickFace,Z
4-B-14,4,B,14,SW40485,YMB30,8640.0,8640.0,Goodsin,V
8-B-14,8,B,14,N968120240,IMOV01,360000.0,360000.0,PickFace,X
S-B-14,S,B,14,SW41103,YMPM90,964.0,1425.0,Null,Z
S-B-14,S,B,14,41102,YMPM90,3.0,1425.0,Null,Z
S-B-14,S,B,14,41103,YMPM90,456.0,1425.0,Null,Y
S-B-14,S,B,14,40936,YMPM90,2.0,1425.0,PickFace,Q
1-B-14,1,B,14,F163834,YMP60,2707.0,2717.0,Null,K
1-B-14,1,B,14,F164211,YMP60,1.0,2717.0,PickFace,J
1-B-14,1,B,14,F164393,YMP60,6.0,2717.0,Goodsin,T
1-B-14,1,B,14,F165066,YMP60,2.0,2717.0,Null,J
1-B-14,1,B,14,F194393,YMP60,1.0,2717.0,PickFace,Y
6-C-14,6,C,14,SW072722,YVY30,744.0,744.0,Null,G
S-C-14,S,C,14,P06223-1,YMDS14MD,37.0,91.0,PickFace,T
4-C-14,4,C,14,SW40888,YM300,1500.0,1500.0,PickFace,A
8-C-14,8,C,14,N968111520,IMOV01,360000.0,360000.0,Null,I
S-C-14,S,C,14,P32822-1,YMDS14MD,49.0,91.0,Null,W
S-C-14,S,C,14,P18023-1,YMDS14MD,5.0,91.0,Null,E
1-D-14,1,D,14,F163833,IMOVE1M,722.0,722.0,Null,N
S-D-14,S,D,14,YMP30,YMP30,1.0,4915.0,Goodsin,O
S-D-14,S,D,14,F164394,YMP30,342.0,4915.0,Null,U
S-D-14,S,D,14,F165055,YMP30,1.0,4915.0,Null,T
S-D-14,S,D,14,F165066,YMP30,3599.0,4915.0,Null,V
S-D-14,S,D,14,F164393,YMP30,967.0,4915.0,Null,F
S-D-14,S,D,14,F163834,YMP30,5.0,4915.0,Null,P
4-D-14,4,D,14,SW41036,YM300,1500.0,1500.0,PickFace,H
8-D-14,8,D,14,I211104,YURE02,50000.0,50000.0,PickFace,S
5-E-14,5,E,14,40821SW,YMB30,8635.0,8635.0,Goodsin,J
7-A-15,7,A,15,F163522,YMS120-RET,102.0,102.0,Null,L
8-A-15,8,A,15,40924,YMBS60S6,1068.0,1068.0,Goodsin,S
5-A-15,5,A,15,YUM091422,YVY30,39.0,39.0,Null,K
S-A-15,S,A,15,41102,YMPM120,0.0,0.0,PickFace,N
6-B-15,6,B,15,P05423-2,YMDS14SR,11.0,11.0,Goodsin,D
1-B-15,1,B,15,F164394,YMP60,5.0,192.0,Goodsin,Y
8-B-15,8,B,15,N968120770,IMOV01,540000.0,540000.0,PickFace,C
1-B-15,1,B,15,F165066,YMP60,3.0,192.0,PickFace,R
7-B-15,7,B,15,P32722-1,YMDS14LR,486.0,486.0,PickFace,C
1-B-15,1,B,15,F164146SW,YMP60,184.0,192.0,Goodsin,U
S-B-15,S,B,15,P01923-2,YMDS14LD,253.0,253.0,Goodsin,W
7-C-15,7,C,15,F163831,YMS120,1600.0,1600.0,Null,I
6-C-15,6,C,15,P06723-2,DCHEWL7,750.0,750.0,Goodsin,Y
1-C-15,1,C,15,SW40656,YUDI300,20.0,20.0,Null,M
8-C-15,8,C,15,N968113540,IMOV01,360000.0,360000.0,PickFace,W
2-C-15,2,C,15,F162339,YMS120,20.0,20.0,PickFace,X
4-C-15,4,C,15,SW40865,YMBA150,490.0,490.0,Null,M
S-C-15,S,C,15,P32722-1,YMDS14LR,98.0,98.0,Null,W
7-D-15,7,D,15,20923,YVS120,150.0,150.0,PickFace,A
5-D-15,5,D,15,SW40485,YMB30,1800.0,1800.0,Null,E
4-D-15,4,D,15,SW40908,YM120,1700.0,1700.0,PickFace,A
8-E-15,8,E,15,N968120241,IMOV01,360000.0,360000.0,PickFace,F
1-E-15,1,E,15,P00523-1,YMDS14MD,0.0,0.0,Null,U
5-A-16,5,A,16,SW41188,YMAVC60,0.0,0.0,Goodsin,J
8-A-16,8,A,16,SW40908,YM120S6,1614.0,1614.0,Null,U
4-A-16,4,A,16,SW40935,YPH1800,66.0,66.0,PickFace,V
S-B-16,S,B,16,L108428SW,YSD,357.0,357.0,PickFace,I
8-B-16,8,B,16,N968120770,IMOV01,540000.0,540000.0,Goodsin,L
5-C-16,5,C,16,SW40485,YMB30,8640.0,8640.0,Goodsin,F
S-C-16,S,C,16,SW40848,YMBA150,95.0,135.0,Null,A
4-C-16,4,C,16,SW40888,YM300,1500.0,1500.0,Null,L
S-C-16,S,C,16,SW40653,YMBA150,40.0,135.0,PickFace,W
8-C-16,8,C,16,NDFNZ11354,HOKI01,405000.0,405000.0,PickFace,E
7-D-16,7,D,16,F163831,YMS120,1600.0,1600.0,PickFace,L
4-D-16,4,D,16,SW40935,YPH1800,150.0,150.0,Null,P
5-E-16,5,E,16,40821SW,YMB30,8640.0,8640.0,Goodsin,V
1-F-16,1,F,16,P32222-1,YMDS14MD,3.0,660.0,Goodsin,I
1-F-16,1,F,16,P06223-1,YMDS14MD,167.0,660.0,Goodsin,W
1-F-16,1,F,16,P18023-1,YMDS14MD,150.0,660.0,PickFace,X
1-F-16,1,F,16,P32822,YMDS14MD,2.0,660.0,PickFace,N
1-F-16,1,F,16,P33222-1,YMDS14MD,1.0,660.0,PickFace,K
1-F-16,1,F,16,PO1923-1,YMDS14MD,1.0,660.0,Null,X
1-F-16,1,F,16,P32822-1,YMDS14MD,336.0,660.0,PickFace,W
0-A-17,0,A,17,SW41237,YMAVC60,73.0,1425.0,PickFace,S
0-A-17,0,A,17,SW41008,YUAC,2.0,1425.0,Null,F
0-A-17,0,A,17,SW40914,YMSC60,29.0,1425.0,Goodsin,N
0-A-17,0,A,17,SW40890,YMAX120,141.0,1425.0,PickFace,W
0-A-17,0,A,17,SW41037,YMAV270,174.0,1425.0,Goodsin,K
0-A-17,0,A,17,SW41238,YMSC60,17.0,1425.0,PickFace,G
5-A-17,5,A,17,105802SW,YSO500,347.0,347.0,Null,C
0-A-17,0,A,17,SW41006,YMAV120,140.0,1425.0,PickFace,P
0-A-17,0,A,17,SW41032,YDB180,77.0,1425.0,Null,Y
0-A-17,0,A,17,SW40524,YUAC,24.0,1425.0,Goodsin,O
0-A-17,0,A,17,SW35906,YMAV270,16.0,1425.0,Null,T
0-A-17,0,A,17,SW40992,YMAV60,49.0,1425.0,PickFace,D
0-A-17,0,A,17,SW40775,YMAVC60,52.0,1425.0,PickFace,B
0-A-17,0,A,17,SW40557,YMAX120,9.0,1425.0,Goodsin,D
8-A-17,8,A,17,SWF163831,YMS120S6,1498.0,1498.0,Null,H
0-A-17,0,A,17,SWF166232,YMS240,4.0,1425.0,PickFace,Q
0-A-17,0,A,17,SW41077,YMSC60,6.0,1425.0,Goodsin,Q
0-A-17,0,A,17,SW41196,YMBAV90,40.0,1425.0,PickFace,M
0-A-17,0,A,17,SW40819,YM120,20.0,1425.0,PickFace,H
0-A-17,0,A,17,SW41188,YMAVC60,30.0,1425.0,Null,O
0-A-17,0,A,17,SW40655,YMAX120,77.0,1425.0,Goodsin,M
0-A-17,0,A,17,SW40823,YUAC,60.0,1425.0,Null,P
0-A-17,0,A,17,F165214,YMS120,10.0,1425.0,Goodsin,T
0-A-17,0,A,17,F163831,YMS120,96.0,1425.0,PickFace,M
0-A-17,0,A,17,SW41262,YUAC,60.0,1425.0,PickFace,R
0-A-17,0,A,17,SWF164297,YMS120,20.0,1425.0,Goodsin,W
0-A-17,0,A,17,SW40812,YM400,26.0,1425.0,PickFace,F
4-A-17,4,A,17,SW40867,YMBS150,372.0,372.0,Null,F
0-A-17,0,A,17,22822,YMBAV90,19.0,1425.0,Goodsin,W
0-A-17,0,A,17,SW40976,YMAV120,106.0,1425.0,Null,J
7-A-17,7,A,17,SW40128,YMACT240,0.0,0.0,Null,K
0-A-17,0,A,17,SW40822,YMSC60,8.0,1425.0,PickFace,J
0-A-17,0,A,17,SW40130,YMSC60,2.0,1425.0,PickFace,L
0-A-17,0,A,17,SW35930,YMSC60,30.0,1425.0,Null,W
0-A-17,0,A,17,SW40749,YMSC60,8.0,1425.0,PickFace,F
1-B-17,1,B,17,F163833,IMOVEB,3717.0,3717.0,PickFace,K
7-B-17,7,B,17,P32722-1,YMDS14LR,21.0,21.0,PickFace,B
8-B-17,8,B,17,N968120770,IMOV01,540000.0,540000.0,Null,M
2-C-17,2,C,17,P32722-1,DCHEWL7,420.0,420.0,Goodsin,E
6-C-17,6,C,17,P06623-3,DCHEWL7,1600.0,1600.0,Null,I
1-C-17,1,C,17,F163833,IMOVE1M,1123.0,1123.0,PickFace,J
7-D-17,7,D,17,20923,YVS120,864.0,864.0,PickFace,W
8-E-17,8,E,17,N968120241,IMOV01,360000.0,360000.0,Goodsin,N
5-E-17,5,E,17,104688SW,YSO500,1170.0,1170.0,Null,H
1-E-17,1,E,17,SW40484,YMACT90-PP,1154.0,1154.0,Goodsin,F
1-F-17,1,F,17,SW40906,YM60-PP,3200.0,3200.0,PickFace,W
5-A-18,5,A,18,SW40746,YM120-PAH,4.0,4.0,Goodsin,O
8-A-18,8,A,18,41039,YM120S6,1686.0,1686.0,Goodsin,Q
2-A-18,2,A,18,SW40038,YUDI120,13.0,13.0,Goodsin,E
1-B-18,1,B,18,F165068,YMP60,2673.0,3211.0,Goodsin,B
1-B-18,1,B,18,F164393,YMP60,522.0,3211.0,Goodsin,A
1-B-18,1,B,18,F164146,YMP60,2.0,3211.0,Null,V
1-B-18,1,B,18,F165066,YMP60,12.0,3211.0,Null,D
1-B-18,1,B,18,F163834,YMP60,1.0,3211.0,PickFace,X
1-B-18,1,B,18,F163894,YMP60,1.0,3211.0,Goodsin,V
5-B-18,5,B,18,41220,YMC60-PAH,971.0,971.0,PickFace,E
8-C-18,8,C,18,N968120770,IMOV01,540000.0,540000.0,PickFace,D
4-C-18,4,C,18,SW41036,YM300,1487.0,1487.0,Null,I
1-D-18,1,D,18,SW40362,YM60-PP,0.0,0.0,Goodsin,E
5-E-18,5,E,18,40821SW,YMB30,8635.0,8635.0,Goodsin,N
8-E-18,8,E,18,N968112870,IMOV01,480000.0,480000.0,PickFace,N
4-A-19,4,A,19,L104334SW,YDM500,60.0,60.0,Goodsin,R
5-A-19,5,A,19,F167171,YMS120-RET,1690.0,1690.0,Null,E
2-A-19,2,A,19,SW35800,YMCM30,12.0,12.0,PickFace,J
S-B-19,S,B,19,SW36018,YM90-PP,1.0,2.0,PickFace,Z
5-B-19,5,B,19,SWF164297,YMS120,1060.0,1060.0,PickFace,V
S-B-19,S,B,19,ym90,YM90-PP,1.0,2.0,Null,B
7-B-19,7,B,19,SW40227,YMBY60S6,162.0,162.0,Null,Y
6-B-19,6,B,19,P06623-3,DCHEWL7,50.0,50.0,Null,P
S-C-19,S,C,19,SW40301,YMACT90-PP,3.0,5.0,PickFace,Z
S-C-19,S,C,19,SW40049,YMACT90-PP,2.0,5.0,Null,Y
5-C-19,5,C,19,SW40801,YMAX120,1474.0,1474.0,Goodsin,E
8-C-19,8,C,19,72722,YVY120,78.0,78.0,Null,K
4-C-19,4,C,19,108757SW,YDI500,348.0,348.0,Null,W
1-D-19,1,D,19,SW40906,YM30-PP,0.0,171.0,Goodsin,M
8-D-19,8,D,19,N968120241,IMOV01,360000.0,360000.0,Null,X
1-D-19,1,D,19,80422,YCCS30,171.0,171.0,Goodsin,B
5-D-19,5,D,19,SW41035,YM120-PAH,1344.0,1344.0,PickFace,N
1-D-19,1,D,19,SW40362,YM30-PP,0.0,171.0,Goodsin,G
5-E-19,5,E,19,104688SW,YSO500,654.0,654.0,Null,U
7-E-19,7,E,19,F163831,YMS120,1600.0,1600.0,Goodsin,A
5-A-20,5,A,20,SW41011,YMAV60,1905.0,1905.0,PickFace,X
4-A-20,4,A,20,SW35957,YMCL30,888.0,888.0,Goodsin,M
5-B-20,5,B,20,SW41052,YMBS150,968.0,968.0,Goodsin,I
6-B-20,6,B,20,YUMSW072922,YVA30,815.0,815.0,Null,N
1-B-20,1,B,20,F163110,YMP120,271.0,1033.0,Goodsin,C
4-B-20,4,B,20,SW40888,YM300,600.0,600.0,Null,R
1-B-20,1,B,20,F165549,YMP120,3.0,1033.0,Null,V
1-B-20,1,B,20,F165066,YMP120,318.0,1033.0,Goodsin,G
1-B-20,1,B,20,F164082,YMP120,1.0,1033.0,Null,Z
1-B-20,1,B,20,F164394,YMP120,113.0,1033.0,Null,Z
8-B-20,8,B,20,SW091622,YVA30S6,576.0,576.0,Null,C
1-B-20,1,B,20,F164146,YMP120,327.0,1033.0,Null,V
1-C-20,1,C,20,P06233-1,YMDS14MD,360.0,360.0,Goodsin,F
5-C-20,5,C,20,SW40818,YM120-PAH,1037.0,1037.0,Null,M
8-C-20,8,C,20,P01323-1,YMSS7MRS6,894.0,894.0,Goodsin,B
4-C-20,4,C,20,SW41036,YM300,1500.0,1500.0,Goodsin,H
4-D-20,4,D,20,SWF166770,YMP300,1037.0,1037.0,PickFace,U
5-D-20,5,D,20,SW40818,YM120-PAH,1339.0,1339.0,Null,Y
5-E-20,5,E,20,40821SW,YMB30,8539.0,8539.0,Goodsin,O
1-E-20,1,E,20,F164394,YMP120,475.0,475.0,Null,H
4-A-21,4,A,21,SW40655,YMAX120,260.0,260.0,PickFace,S
4-A-21,4,A,21,SW40888,YM300,0.0,260.0,PickFace,F
4-A-21,4,A,21,108675SW,YDI250,0.0,260.0,PickFace,N
7-B-21,7,B,21,SW091622,YVA30S6,192.0,192.0,Null,J
5-B-21,5,B,21,SW41035,YM120-PAH,0.0,0.0,Null,Y
4-B-21,4,B,21,108553SW,YDI500,1170.0,1170.0,Goodsin,K
4-C-21,4,C,21,108553SW,YDI500,1041.0,1041.0,PickFace,O
5-C-21,5,C,21,SW41035,YM120-PAH,810.0,810.0,Null,H
8-C-21,8,C,21,N968120241,IMOV01,360000.0,360000.0,Null,W
S-D-21,S,D,21,SW36008,YM300,2.0,1313.0,PickFace,L
S-D-21,S,D,21,SW40131,YM30-PP,4.0,1313.0,Goodsin,U
S-D-21,S,D,21,SW36018,YM30-PP,3.0,1313.0,PickFace,N
S-D-21,S,D,21,SW35980,YM30-PP,1302.0,1313.0,Goodsin,P
S-D-21,S,D,21,SW40155,YM30-PP,1.0,1313.0,Null,V
S-D-21,S,D,21,SW40228,YM30-PP,1.0,1313.0,Goodsin,Q
5-D-21,5,D,21,SW40801,YMAX120,282.0,282.0,PickFace,X
4-D-21,4,D,21,SW40935,YPH1800,150.0,150.0,PickFace,F
7-E-21,7,E,21,SWF164297,YMS120,1597.0,1597.0,PickFace,Z
8-A-22,8,A,22,SWF164297,YMS80-RET,168.0,168.0,Null,M
4-A-22,4,A,22,F163522,YMS120,100.0,100.0,Null,V
5-A-22,5,A,22,41039,YM60,1120.0,1120.0,Null,X
5-B-22,5,B,22,SW41035,YM120-PAH,1344.0,1344.0,Null,A
4-B-22,4,B,22,SW41036,YM300,1500.0,1500.0,PickFace,S
2-B-22,2,B,22,35621,YMAV270,231.0,231.0,Null,A
4-C-22,4,C,22,SW41036,YM300,1500.0,1500.0,Goodsin,X
1-C-22,1,C,22,52322,YMBY150,272.0,272.0,PickFace,Z
5-C-22,5,C,22,SW40370,YMAV120,60.0,60.0,Null,T
6-C-22,6,C,22,F162762SW,YMS120,84.0,84.0,Null,Q
8-D-22,8,D,22,P05123-1,YMSS7MRS6,261.0,261.0,Null,P
4-D-22,4,D,22,SW41071,YMPMB30,8640.0,8640.0,Goodsin,T
1-D-22,1,D,22,F164394,YMP60,1062.0,1062.0,Null,T
5-A-23,5,A,23,SW40802,YMSM120,364.0,364.0,PickFace,V
4-A-23,4,A,23,108757SW,YDI500,198.0,198.0,PickFace,A
5-B-23,5,B,23,F167171,YMS120-RET,0.0,0.0,Null,E
4-B-23,4,B,23,108553SW,YDI500,1170.0,1170.0,Null,S
S-B-23,S,B,23,F164146,YMP90-SFO,198.0,409.0,PickFace,E
1-B-23,1,B,23,SWF165068,YMP60,2475.0,3200.0,Null,G
1-B-23,1,B,23,F164394,YMP60,715.0,3200.0,Null,K
1-B-23,1,B,23,F164211,YMP60,1.0,3200.0,PickFace,P
1-B-23,1,B,23,F164146,YMP60,3.0,3200.0,Null,E
1-B-23,1,B,23,F164082,YMP60,1.0,3200.0,PickFace,Z
1-B-23,1,B,23,F163109,YMP60,2.0,3200.0,Goodsin,Q
1-B-23,1,B,23,F163834,YMP60,2.0,3200.0,Goodsin,E
7-B-23,7,B,23,SW35955,YM80-RET,228.0,228.0,Goodsin,K
S-B-23,S,B,23,F163192,YMP90-SFO,211.0,409.0,Null,R
1-B-23,1,B,23,F163373,YMP60,1.0,3200.0,Goodsin,E
S-C-23,S,C,23,SW40301,YMACT30-PP,111.0,111.0,Goodsin,O
7-C-23,7,C,23,F163831,YMS120,1540.0,1540.0,PickFace,A
8-C-23,8,C,23,N968120241,IMOV01,360000.0,360000.0,Goodsin,F
5-D-23,5,D,23,F167171,YMS120-RET,1680.0,1680.0,Null,F
4-D-23,4,D,23,108553SW,YDI500,1170.0,1170.0,PickFace,R
8-D-23,8,D,23,N968120241,IMOV01,360000.0,360000.0,Null,W
1-E-23,1,E,23,F164393,YMP60,1.0,2276.0,PickFace,Z
1-E-23,1,E,23,F164146,YMP60,1.0,2276.0,Null,G
1-E-23,1,E,23,F163834,YMP60,2273.0,2276.0,Null,S
1-E-23,1,E,23,F164394,YMP60,1.0,2276.0,Null,R
7-E-23,7,E,23,SWF164297,YMS120,1417.0,1417.0,PickFace,M
4-E-23,4,E,23,SW40594,YM120,66.0,66.0,Goodsin,I
8-E-23,8,E,23,N968120241,IMOV01,360000.0,360000.0,Goodsin,V
5-A-24,5,A,24,SW41077,YMSC60,60.0,60.0,PickFace,H
4-A-24,4,A,24,SW40888,YM300,1500.0,1500.0,Null,W
1-B-24,1,B,24,102122,YMBS150,1.0,1.0,Null,Q
6-B-24,6,B,24,P06623-1,DCHEWL7,1600.0,1600.0,Null,C
S-B-24,S,B,24,F163192,YMP120-SFO,421.0,421.0,PickFace,V
8-B-24,8,B,24,SW35955,YMS120S6,96.0,96.0,Goodsin,Y
4-B-24,4,B,24,108757SW,YDI500,0.0,0.0,PickFace,X
5-B-24,5,B,24,SWF167346,YMS240-RET,998.0,998.0,Null,H
4-C-24,4,C,24,SW40935,YPH1800,40.0,40.0,PickFace,K
5-C-24,5,C,24,SWF167494,YMS240-RET,998.0,998.0,PickFace,M
8-D-24,8,D,24,SW35864,YMCM30,416.0,416.0,Null,S
4-A-25,4,A,25,F163831,YMS120,300.0,420.0,PickFace,A
4-A-25,4,A,25,F163522,YMS120,120.0,420.0,Null,K
5-B-25,5,B,25,L107413SW,YDM500,528.0,528.0,PickFace,N
8-B-25,8,B,25,F163522,YMS80-RET,222.0,222.0,PickFace,A
6-B-25,6,B,25,P05123-1,YMSS7MR,160.0,160.0,Goodsin,N
8-C-25,8,C,25,SW091622,YVA30S6,1152.0,1152.0,PickFace,H
5-D-25,5,D,25,SW40746,YM120-PAH,44.0,44.0,Goodsin,M
8-D-25,8,D,25,SW091622,YVA30S6,1152.0,1152.0,PickFace,K
4-D-25,4,D,25,11123,YCCL30,1050.0,1050.0,Null,S
8-E-25,8,E,25,N968120241,IMOV01,360000.0,360000.0,Goodsin,A
7-E-25,7,E,25,SWF164297,YMS120,1597.0,1597.0,Null,R
6-A-26,6,A,26,SW40248,YMAV270EU,13.0,13.0,Goodsin,B
7-A-26,7,A,26,SW40812,YM400,380.0,380.0,PickFace,N
4-A-26,4,A,26,SW41005,YMCS30,582.0,582.0,Goodsin,Z
5-A-26,5,A,26,SW41010,YMC60-PAH,1278.0,1278.0,PickFace,A
5-B-26,5,B,26,SW40827,YM400,270.0,270.0,Null,H
4-B-26,4,B,26,108553SW,YDI500,1170.0,1170.0,PickFace,F
8-B-26,8,B,26,P04523-3,YMSS7SRS8,992.0,992.0,PickFace,Y
7-C-26,7,C,26,P32722-1,DCHEWL7,325.0,325.0,Null,V
8-C-26,8,C,26,N968112870,IMOV01,60000.0,60000.0,Goodsin,K
8-c-26,8,C,26,102243SW,YSO500S6,500.0,500.0,Goodsin,L
4-C-26,4,C,26,SW41071,YMPMB30,8640.0,8640.0,Goodsin,N
5-C-26,5,C,26,107923SW,YSO500,1170.0,1170.0,PickFace,N
4-D-26,4,D,26,SW41071,YMPMB30,6865.0,6865.0,Null,D
8-E-26,8,E,26,N968111520,IMOV01,360000.0,360000.0,PickFace,M
4-A-27,4,A,27,SWF164297,YMS120-RET,156.0,156.0,PickFace,Q
5-A-27,5,A,27,L108060SW,YDM500,156.0,156.0,Null,H
8-B-27,8,B,27,SW052322,YMBY60S6,282.0,282.0,PickFace,G
4-C-27,4,C,27,SW41187,YMPMB30,8640.0,8640.0,PickFace,K
7-C-27,7,C,27,F163831,YMS120,1600.0,1600.0,Null,D
5-D-27,5,D,27,SWF165068,YMPB30,9900.0,9900.0,PickFace,L
8-D-27,8,D,27,N968120240,IMOV01,360000.0,360000.0,PickFace,A
8-E-27,8,E,27,N968120240,IMOV01,360000.0,360000.0,Goodsin,W
6-A-28,6,A,28,SW40280,YMAVC60EU,12.0,12.0,Null,C
5-A-28,5,A,28,SW40254,YUCA60-PAH,56.0,56.0,Goodsin,U
4-A-28,4,A,28,91422,YVY120,744.0,744.0,PickFace,K
4-A-28,4,A,28,SW40903,YMC60,0.0,744.0,Goodsin,D
8-B-28,8,B,28,SW35832,YMCS30S4,108.0,108.0,Goodsin,L
5-B-28,5,B,28,SW41054,YMBS150,978.0,978.0,Goodsin,J
4-C-28,4,C,28,SW41071,YMPMB30,8640.0,8640.0,Goodsin,Y
5-C-28,5,C,28,105802SW,YSO500,222.0,222.0,Goodsin,S
8-C-28,8,C,28,N968111520,IMOV01,360000.0,360000.0,Null,E
7-C-28,7,C,28,P34822-2,YMSS7LRS5,140.0,140.0,Null,U
4-D-28,4,D,28,SW41071,YMPMB30,8640.0,9039.0,Goodsin,B
5-D-28,5,D,28,105802SW,YSO500,1170.0,1170.0,Goodsin,E
7-D-28,7,D,28,104688SW,YSO500S6,330.0,330.0,Goodsin,L
8-D-28,8,D,28,N968111520,IMOV01,40000.0,40000.0,Null,V
4-D-28,4,D,28,SW41005,YMCS30,399.0,9039.0,PickFace,S
4-A-29,4,A,29,SW35796,YMCM30,90.0,90.0,PickFace,E
5-A-29,5,A,29,SW40635,YUDP6-PAH,1062.0,1062.0,Null,U
8-A-29,8,A,29,YUMSW091422,YVY30S6,1140.0,1140.0,Goodsin,J
5-B-29,5,B,29,L108060SW,YDM500,0.0,0.0,Goodsin,I
7-B-29,7,B,29,SW032522,YVA30S6,846.0,846.0,PickFace,Y
7-C-29,7,C,29,P34822-2,YMSS7LRS5,540.0,540.0,Goodsin,M
4-C-29,4,C,29,SW41187,YMPMB30,7682.0,7682.0,Goodsin,O
8-C-29,8,C,29,P29922-2,YMSS7SRS8,496.0,496.0,PickFace,G
8-D-29,8,D,29,SW091622,YVA30S6,1152.0,1152.0,Null,N
5-D-29,5,D,29,SWF165068,YMPB30,9900.0,9900.0,Null,S
8-E-29,8,E,29,91422,YVY120,516.0,516.0,PickFace,F
5-A-30,5,A,30,SW41196,YMBAV90,275.0,275.0,Goodsin,X
4-A-30,4,A,30,SW40976,YMAV120,1200.0,1200.0,Null,A
8-B-30,8,B,30,P34822-3,YMSS7MRS6,600.0,600.0,Goodsin,Q
5-B-30,5,B,30,F167839,YMS80-RET,1082.0,1082.0,Null,N
6-C-30,6,C,30,P00623-3,YMSS7LR,1280.0,1280.0,Null,T
8-C-30,8,C,30,P04823-1,YMSS7LRS5,495.0,495.0,Goodsin,K
5-C-30,5,C,30,107923SW,YSO500,114.0,114.0,PickFace,O
